epoch,train_loss,val_loss,val_auroc,val_auprc,val_sensitivity,val_specificity,lr,epoch_time_s
1,1.386375,131.995526,0.426179,0.685882,0.707595,0.167818,5.00e-04,92.88
2,1.149336,152.849941,0.379641,0.662029,0.606250,0.184478,5.00e-04,92.31
3,1.044142,150.735830,0.494061,0.740547,0.405063,0.651768,5.00e-04,89.62
4,0.795393,278.849066,0.316839,0.604296,0.377769,0.348029,2.50e-04,92.67
5,0.630155,389.147543,0.323681,0.615306,0.267959,0.474604,2.50e-04,87.29
